Time,Rainfall(mm/h),True Water Depth (m)
2023/6/18 14:00,0,0.01
2023/6/18 14:30,0.3,0.02
2023/6/18 15:00,0.6,0.021
2023/6/18 15:30,0.9,0.018
2023/6/18 16:00,1.2,0.024
2023/6/18 16:30,2.3,0.028
2023/6/18 17:00,3.4,0.029
2023/6/18 17:30,4.4,0.025
2023/6/18 18:00,5.5,0.018
2023/6/18 18:30,11.2,0.024
2023/6/18 19:00,17,0.038
2023/6/18 19:30,22.8,0.059
2023/6/18 20:00,28.5,0.08
2023/6/18 20:30,45.2,0.15
2023/6/18 21:00,88.6,0.48
2023/6/18 21:30,65.4,0.82
2023/6/18 22:00,25.1,0.98
2023/6/18 22:30,10.5,0.85
2023/6/18 23:00,5.2,0.72
2023/6/18 23:30,2,0.6
2023/6/19 0:00,0.5,0.5
2023/6/19 0:30,0.5,0.418
2023/6/19 1:00,0.4,0.352
2023/6/19 1:30,0.4,0.301
2023/6/19 2:00,0.4,0.26
2023/6/19 2:30,0.3,0.21
2023/6/19 3:00,0.3,0.11
2023/6/19 3:30,0.3,0.08
2023/6/19 4:00,0.2,0.06
2023/6/19 4:30,0.2,0.051
2023/6/19 5:00,0.2,0.021
2023/6/19 5:30,0.2,0.012
2023/6/19 6:00,0.1,0.009
2023/6/19 6:30,0.1,0.001
2023/6/19 7:00,0.1,0
2023/6/19 7:30,0,0
2023/6/19 8:00,0,0
